study	trial_id	freq_bin	nodes	bp	bp_frac	target_bp_frac	bp_frac_delta
crush_local_k63/auto	1	0-0.01	274248	7440416	0.9740125975725402	0.008417093864028117	0.9655955037085121
crush_local_k63/auto	1	0.01-0.05	1054	55431	0.007256380865806896	0.04074231604396589	-0.03348593517815899
crush_local_k63/auto	1	0.05-0.1	298	11283	0.001477038936856618	0.0012312238364934746	0.0002458151003631435
crush_local_k63/auto	1	0.1-0.25	697	21959	0.0028746165039824937	0.0017460992590271093	0.0011285172449553844
crush_local_k63/auto	1	0.25-0.5	620	30514	0.003994537456283156	0.0006715766380873498	0.003322960818195806
crush_local_k63/auto	1	0.5-0.75	217	4751	0.0006219455808743945	0.0007611201898323297	-0.00013917460895793512
crush_local_k63/auto	1	0.75-1	1814	52098	0.006820063328224417	0.4076134404871169	-0.40079337715889246
crush_local_k63/auto	1	1-1.5	565	15952	0.0020882500328579965	0.22708244722526919	-0.22499419719241118
crush_local_k63/auto	1	1.5-2	248	6527	0.0008544388142216739	0.038940252065098165	-0.03808581325087649
crush_local_k63/auto	1	2-3	0	0	0.0	0.27242506324013344	-0.27242506324013344
crush_local_k63/auto	1	>=3	1	1	1.3090835210995465e-07	0.00036936715094804237	-0.00036923624259593244
crush_local_k63/auto	2	0-0.01	282652	7636673	0.9757990951014883	0.008417093864028117	0.9673820012374602
crush_local_k63/auto	2	0.01-0.05	1085	50394	0.006439246462241398	0.04074231604396589	-0.03430306958172449
crush_local_k63/auto	2	0.05-0.1	229	4786	0.0006115456913181595	0.0012312238364934746	-0.000619678145175315
crush_local_k63/auto	2	0.1-0.25	641	19440	0.0024840050646103263	0.0017460992590271093	0.000737905805583217
crush_local_k63/auto	2	0.25-0.5	888	35419	0.004525770338653968	0.0006715766380873498	0.0038541937005666183
crush_local_k63/auto	2	0.5-0.75	336	11452	0.0014633140946459595	0.0007611201898323297	0.0007021939048136299
crush_local_k63/auto	2	0.75-1	1871	48329	0.006175384813145703	0.4076134404871169	-0.4014380556739712
crush_local_k63/auto	2	1-1.5	436	11002	0.0014058139774096095	0.22708244722526919	-0.22567663324785958
crush_local_k63/auto	2	1.5-2	309	8575	0.0010956966784482277	0.038940252065098165	-0.037844555386649936
crush_local_k63/auto	2	2-3	0	0	0.0	0.27242506324013344	-0.27242506324013344
crush_local_k63/auto	2	>=3	1	1	1.277780383030003e-07	0.00036936715094804237	-0.0003692393729097394
crush_local_k63/auto	3	0-0.01	275994	7473739	0.9743935707074078	0.008417093864028117	0.9659764768433797
crush_local_k63/auto	3	0.01-0.05	1126	55051	0.00717730983929376	0.04074231604396589	-0.03356500620467213
crush_local_k63/auto	3	0.05-0.1	299	11192	0.0014591642608013618	0.0012312238364934746	0.00022794042430788726
crush_local_k63/auto	3	0.1-0.25	679	20893	0.0027239384293176244	0.0017460992590271093	0.000977839170290515
crush_local_k63/auto	3	0.25-0.5	613	29840	0.003890409358676969	0.0006715766380873498	0.003218832720589619
crush_local_k63/auto	3	0.5-0.75	219	4719	0.0006152426864476077	0.0007611201898323297	-0.0001458775033847219
crush_local_k63/auto	3	0.75-1	2041	52054	0.006786574019992324	0.4076134404871169	-0.40082686646712457
crush_local_k63/auto	3	1-1.5	609	15634	0.002038292892545433	0.22708244722526919	-0.22504415433272376
