study	trial_id	generation	candidate_index	optimizer	mode	method_family	valid	invalid_reasons	raw_objective	tell_objective	pggb_shape_distance	pggb_freq_l1	pggb_freq_tv	segment_bp_ratio_to_pggb	bp_weighted_depth_ratio_to_pggb	singleton_bp_ratio_to_pggb	whitespace_p99_ratio_to_pggb	whitespace_max_ratio_to_pggb	segments	links	paths	path_steps	total_segment_bp	node_coverage_bp_weighted_mean	singleton_bp	path_white_space_bp_p99	path_white_space_bp_max	path_white_space_bridges_ge_threshold	duplicate_sequence_frac	local_repeat_context_nodes	dist_segments	dist_segment_bp	dist_path_steps	dist_bp_weighted_depth_mean	dist_singleton_bp	dist_singleton_bp_frac	path_validation_ok	primary_wall_seconds	primary_max_rss_kb	graph_report_wall_seconds	graph_report_max_rss_kb	output_gfa	graph_report	path_validation	best_command_sh	primary_command
crush_local_k63/auto	1	0	0	cma-es	crush-only	auto	True		507.38591834916946	507.38591834916946	18.974304025451012	1.940585593744053	0.9702927968720265	85.5021378522979	0.011688412181261562	14149.53154875717	2223527.6666666665	188.6151114863187	279762	353912	466	1802999	7638932	6.955577	7400205	6670583	7596285	228332	0.985691	544	279762	7638932	1802999	6.955577297978304	7400205	0.9687486418258469	True	103.73900604993105	34774300	8.330368449911475	879428	data/c4_cmaes_runs/crush_local_k63/auto/trial-000001/output.gfa	data/c4_cmaes_runs/crush_local_k63/auto/trial-000001/graph-report.tsv	data/c4_cmaes_runs/crush_local_k63/auto/trial-000001/path-validation.json	data/c4_cmaes_runs/crush_local_k63/auto/trial-000001/command.sh	/home/erikg/impg/target/release/impg crush -g /home/erikg/impg/data/calibrate_spectrum_driven_20260530T203220Z/c4_default_spectrum/c4-local-syng-k63-spectrum-default.gfa -o data/c4_cmaes_runs/crush_local_k63/auto/trial-000001/output.gfa -t 32 --method auto --max-rounds 3 --min-traversal-len 28 --max-traversal-len 5315 --max-median-traversal-len 698 --max-traversals 893 --polish-rounds 4 --polish-max-traversal-len 3671 --polish-max-median-traversal-len 645 --replacement-flank-bp 22 --auto-poasta-max-len 5221
crush_local_k63/auto	2	0	1	cma-es	crush-only	auto	True		517.4471604123875	517.4471604123875	19.054405534156928	1.9453525892968473	0.9726762946484236	87.59677419354838	0.011408915896703306	14574.908221797323	2272664.0	193.2543824800119	288448	365661	466	1902985	7826071	6.789254	7622677	6817992	7783127	233016	0.98529	538	288448	7826071	1902985	6.789253764756287	7622677	0.9740107136773996	True	93.55038064997643	15603700	8.882629490457475	899448	data/c4_cmaes_runs/crush_local_k63/auto/trial-000002/output.gfa	data/c4_cmaes_runs/crush_local_k63/auto/trial-000002/graph-report.tsv	data/c4_cmaes_runs/crush_local_k63/auto/trial-000002/path-validation.json	data/c4_cmaes_runs/crush_local_k63/auto/trial-000002/command.sh	/home/erikg/impg/target/release/impg crush -g /home/erikg/impg/data/calibrate_spectrum_driven_20260530T203220Z/c4_default_spectrum/c4-local-syng-k63-spectrum-default.gfa -o data/c4_cmaes_runs/crush_local_k63/auto/trial-000002/output.gfa -t 32 --method auto --max-rounds 2 --min-traversal-len 1106 --max-traversal-len 19003 --max-median-traversal-len 6231 --max-traversals 13004 --polish-rounds 2 --polish-max-traversal-len 4488 --polish-max-median-traversal-len 761 --replacement-flank-bp 262 --auto-poasta-max-len 9141
crush_local_k63/auto	3	1	0	cma-es	crush-only	auto	True		505.3317253218525	505.3317253218525	18.98431909158041	1.9408021783171354	0.9704010891585677	85.85149201943095	0.011640848703835123	14214.267686424475	2212098.6666666665	189.39010279584843	281842	356488	466	1935952	7670144	6.927273	7434062	6636296	7627497	227410	0.985946	545	281842	7670144	1935952	6.927273073360813	7434062	0.9692206560919847	True	108.39203041046858	33936796	9.284199699759483	918172	data/c4_cmaes_runs/crush_local_k63/auto/trial-000003/output.gfa	data/c4_cmaes_runs/crush_local_k63/auto/trial-000003/graph-report.tsv	data/c4_cmaes_runs/crush_local_k63/auto/trial-000003/path-validation.json	data/c4_cmaes_runs/crush_local_k63/auto/trial-000003/command.sh	/home/erikg/impg/target/release/impg crush -g /home/erikg/impg/data/calibrate_spectrum_driven_20260530T203220Z/c4_default_spectrum/c4-local-syng-k63-spectrum-default.gfa -o data/c4_cmaes_runs/crush_local_k63/auto/trial-000003/output.gfa -t 32 --method auto --max-rounds 4 --min-traversal-len 4 --max-traversal-len 3064 --max-median-traversal-len 274 --max-traversals 87 --polish-rounds 4 --polish-max-traversal-len 4090 --polish-max-median-traversal-len 848 --replacement-flank-bp 3 --auto-poasta-max-len 4424
crush_local_k63/auto	4	1	1	cma-es	crush-only	auto	True		504.75800484568896	504.75800484568896	18.97003797204254	1.940649126471702	0.970324563235851	85.48921000201473	0.011690179726460819	14149.286806883365	2199848.6666666665	188.58643293439937	280047	354199	466	1937609	7637777	6.956629	7400077	6599546	7595130	227150	0.985799	548	280047	7637777	1937609	6.956629134367238	7400077	0.9688783791409463	True	109.00568137969822	33575196	8.783065210096538	877412	data/c4_cmaes_runs/crush_local_k63/auto/trial-000004/output.gfa	data/c4_cmaes_runs/crush_local_k63/auto/trial-000004/graph-report.tsv	data/c4_cmaes_runs/crush_local_k63/auto/trial-000004/path-validation.json	data/c4_cmaes_runs/crush_local_k63/auto/trial-000004/command.sh	/home/erikg/impg/target/release/impg crush -g /home/erikg/impg/data/calibrate_spectrum_driven_20260530T203220Z/c4_default_spectrum/c4-local-syng-k63-spectrum-default.gfa -o data/c4_cmaes_runs/crush_local_k63/auto/trial-000004/output.gfa -t 32 --method auto --max-rounds 4 --min-traversal-len 48 --max-traversal-len 7850 --max-median-traversal-len 217 --max-traversals 485 --polish-rounds 4 --polish-max-traversal-len 3140 --polish-max-median-traversal-len 857 --replacement-flank-bp 10 --auto-poasta-max-len 8728
crush_local_k63/chain-povu	1	0	0	cma-es	crush-only	chain-povu	True		556.7034164129782	556.7034164129782	24.274867619287043	1.9804547234273455	0.9902273617136728	430.65205614380693	0.0023206303449367052	73453.07456978968	12256236.0	953.6174951581665	332388	442496	466	911053	38475316	1.380968	38415958	36768708	38405991	249402	0.99308	115	332388	38475316	911053	1.380968047150022	38415958	0.9984572446396541	True	54.13365686964244	1268040	7.281275340355933	812552	data/c4_cmaes_runs/crush_local_k63/chain-povu/trial-000001/output.gfa	data/c4_cmaes_runs/crush_local_k63/chain-povu/trial-000001/graph-report.tsv	data/c4_cmaes_runs/crush_local_k63/chain-povu/trial-000001/path-validation.json	data/c4_cmaes_runs/crush_local_k63/chain-povu/trial-000001/command.sh	/home/erikg/impg/target/release/impg crush -g /home/erikg/impg/data/calibrate_spectrum_driven_20260530T203220Z/c4_default_spectrum/c4-local-syng-k63-spectrum-default.gfa -o data/c4_cmaes_runs/crush_local_k63/chain-povu/trial-000001/output.gfa -t 32 --method chain-povu --max-rounds 3 --min-traversal-len 28 --max-traversal-len 5315 --max-median-traversal-len 698 --max-traversals 893 --polish-rounds 4 --polish-max-traversal-len 3671 --polish-max-median-traversal-len 645 --replacement-flank-bp 22 --chain-target-bp 9702
crush_local_k63/chain-povu	2	0	1	cma-es	crush-only	chain-povu	True		642.1450573415922	642.1450573415922	24.035247504761386	1.9798923261606274	0.9899461630803137	399.9797631573056	0.0024985869827710817	68198.62715105162	11399148.0	885.6514376520832	362250	490243	466	1056187	35734992	1.486867	35667882	34197444	35668726	289344	0.992969	129	362250	35734992	1056187	1.4868670461714388	35667882	0.9981220088142178	True	44.01086737960577	1751488	8.180774169974029	931604	data/c4_cmaes_runs/crush_local_k63/chain-povu/trial-000002/output.gfa	data/c4_cmaes_runs/crush_local_k63/chain-povu/trial-000002/graph-report.tsv	data/c4_cmaes_runs/crush_local_k63/chain-povu/trial-000002/path-validation.json	data/c4_cmaes_runs/crush_local_k63/chain-povu/trial-000002/command.sh	/home/erikg/impg/target/release/impg crush -g /home/erikg/impg/data/calibrate_spectrum_driven_20260530T203220Z/c4_default_spectrum/c4-local-syng-k63-spectrum-default.gfa -o data/c4_cmaes_runs/crush_local_k63/chain-povu/trial-000002/output.gfa -t 32 --method chain-povu --max-rounds 2 --min-traversal-len 1106 --max-traversal-len 19003 --max-median-traversal-len 6231 --max-traversals 13004 --polish-rounds 2 --polish-max-traversal-len 4488 --polish-max-median-traversal-len 761 --replacement-flank-bp 262 --chain-target-bp 16567
crush_local_k63/coverage-multi-bubble	1	0	0	cma-es	crush-only	coverage-multi-bubble	False	primary_timeout,primary_exit_-15,missing_output_gfa,missing_output_gfa		1000000000001.0																											False	300.0026325006038				data/c4_cmaes_runs/crush_local_k63/coverage-multi-bubble/trial-000001/output.gfa	data/c4_cmaes_runs/crush_local_k63/coverage-multi-bubble/trial-000001/graph-report.tsv	data/c4_cmaes_runs/crush_local_k63/coverage-multi-bubble/trial-000001/path-validation.json	data/c4_cmaes_runs/crush_local_k63/coverage-multi-bubble/trial-000001/command.sh	/home/erikg/impg/target/release/impg crush -g /home/erikg/impg/data/calibrate_spectrum_driven_20260530T203220Z/c4_default_spectrum/c4-local-syng-k63-spectrum-default.gfa -o data/c4_cmaes_runs/crush_local_k63/coverage-multi-bubble/trial-000001/output.gfa -t 32 --method coverage-multi-bubble --max-rounds 3 --min-traversal-len 12 --max-traversal-len 119949 --max-median-traversal-len 2237 --max-traversals 1210 --polish-rounds 1 --polish-max-traversal-len 3293 --polish-max-median-traversal-len 3293 --replacement-flank-bp 34 --window-mode sibling --window-target-bp 8865 --max-window-sites 7 --candidate-limit 125 --min-objective-delta 6 --objective coverage --repeat-aware-boundaries true
crush_local_k63/coverage-multi-bubble	2	0	1	cma-es	crush-only	coverage-multi-bubble	False	primary_timeout,primary_exit_-15,missing_output_gfa,missing_output_gfa		1000000000002.0																											False	300.00231309980154				data/c4_cmaes_runs/crush_local_k63/coverage-multi-bubble/trial-000002/output.gfa	data/c4_cmaes_runs/crush_local_k63/coverage-multi-bubble/trial-000002/graph-report.tsv	data/c4_cmaes_runs/crush_local_k63/coverage-multi-bubble/trial-000002/path-validation.json	data/c4_cmaes_runs/crush_local_k63/coverage-multi-bubble/trial-000002/command.sh	/home/erikg/impg/target/release/impg crush -g /home/erikg/impg/data/calibrate_spectrum_driven_20260530T203220Z/c4_default_spectrum/c4-local-syng-k63-spectrum-default.gfa -o data/c4_cmaes_runs/crush_local_k63/coverage-multi-bubble/trial-000002/output.gfa -t 32 --method coverage-multi-bubble --max-rounds 2 --min-traversal-len 85 --max-traversal-len 16344 --max-median-traversal-len 4420 --max-traversals 264 --polish-rounds 2 --polish-max-traversal-len 5624 --polish-max-median-traversal-len 1300 --replacement-flank-bp 160 --window-mode sibling --window-target-bp 10423 --max-window-sites 3 --candidate-limit 60 --min-objective-delta 4 --objective coverage --repeat-aware-boundaries true
crush_local_k63/iterative-multi-level	1	0	0	cma-es	crush-only	iterative-multi-level	False	primary_timeout,primary_exit_-15,missing_output_gfa,missing_output_gfa		1000000000001.0																											False	900.0032927496359				data/c4_cmaes_runs/crush_local_k63/iterative-multi-level/trial-000001/output.gfa	data/c4_cmaes_runs/crush_local_k63/iterative-multi-level/trial-000001/graph-report.tsv	data/c4_cmaes_runs/crush_local_k63/iterative-multi-level/trial-000001/path-validation.json	data/c4_cmaes_runs/crush_local_k63/iterative-multi-level/trial-000001/command.sh	/home/erikg/impg/target/release/impg crush -g /home/erikg/impg/data/calibrate_spectrum_driven_20260530T203220Z/c4_default_spectrum/c4-local-syng-k63-spectrum-default.gfa -o data/c4_cmaes_runs/crush_local_k63/iterative-multi-level/trial-000001/output.gfa -t 32 --method iterative-multi-level --max-rounds 3 --min-traversal-len 28 --max-traversal-len 5315 --max-median-traversal-len 698 --max-traversals 893 --polish-rounds 4 --polish-max-traversal-len 3671 --polish-max-median-traversal-len 645 --replacement-flank-bp 22 --window-mode combined --window-target-bp 10443 --max-window-sites 8 --candidate-limit 248 --min-objective-delta 6 --objective size --repeat-aware-boundaries false
crush_local_k63/iterative-multi-level	2	0	1	cma-es	crush-only	iterative-multi-level	False	primary_exit_143,missing_output_gfa,missing_output_gfa		1000000000002.0																											False	509.96932097990066	7056420			data/c4_cmaes_runs/crush_local_k63/iterative-multi-level/trial-000002/output.gfa	data/c4_cmaes_runs/crush_local_k63/iterative-multi-level/trial-000002/graph-report.tsv	data/c4_cmaes_runs/crush_local_k63/iterative-multi-level/trial-000002/path-validation.json	data/c4_cmaes_runs/crush_local_k63/iterative-multi-level/trial-000002/command.sh	/home/erikg/impg/target/release/impg crush -g /home/erikg/impg/data/calibrate_spectrum_driven_20260530T203220Z/c4_default_spectrum/c4-local-syng-k63-spectrum-default.gfa -o data/c4_cmaes_runs/crush_local_k63/iterative-multi-level/trial-000002/output.gfa -t 32 --method iterative-multi-level --max-rounds 3 --min-traversal-len 6760 --max-traversal-len 5765 --max-median-traversal-len 2178 --max-traversals 888 --polish-rounds 3 --polish-max-traversal-len 6024 --polish-max-median-traversal-len 1673 --replacement-flank-bp 47 --window-mode combined --window-target-bp 22148 --max-window-sites 6 --candidate-limit 73 --min-objective-delta 6 --objective size --repeat-aware-boundaries false
