trial	suspect_path	suspect_key	current_start	current_end	current_length	trial_path	trial_start	trial_end	trial_length	start_delta_vs_current	first_node	first_node_graph_bp	left_side_status
q_seed_sensitive_pggb	HG01952#2#CM087999.1:31995790-32075638	HG01952#2#CM087999.1	31995790	32075638	79848	HG01952#2#CM087999.1:31963104-32075581	31963104	32075581	112477	-32686	55	54	left_side_present_in_graph_layout
q_seed_sensitive_pggb	HG01960#2#JBHIHN010000011.1:32078636-32158486	HG01960#2#JBHIHN010000011.1	32078636	32158486	79850	HG01960#2#JBHIHN010000011.1:32045953-32158429	32045953	32158429	112476	-32683	59	58	left_side_present_in_graph_layout
q_seed_sensitive_pggb	HG02027#2#JBHDTY010000008.1:5188422-5268271	HG02027#2#JBHDTY010000008.1	5188422	5268271	79849	HG02027#2#JBHDTY010000008.1:5155736-5268214	5155736	5268214	112478	-32686	61	60	left_side_present_in_graph_layout
q_seed_sensitive_pggb	HG02132#2#CM086908.1:31997546-32077395	HG02132#2#CM086908.1	31997546	32077395	79849	HG02132#2#CM086908.1:31964860-32077338	31964860	32077338	112478	-32686	61	60	left_side_present_in_graph_layout
q_seed_sensitive_pggb	HG02178#2#CM089938.1:31943310-32055920	HG02178#2#CM089938.1	31943310	32055920	112610	HG02178#2#CM089938.1:31910627-32055863	31910627	32055863	145236	-32683	55	54	left_side_present_in_graph_layout
q_seed_sensitive_pggb	HG03710#2#CM086882.1:31974825-32061063	HG03710#2#CM086882.1	31974825	32061063	86238	HG03710#2#CM086882.1:31942142-32061006	31942142	32061006	118864	-32683	58	57	left_side_present_in_graph_layout
q_seed_sensitive_pggb	HG03874#1#CM089432.1:31915349-32027959	HG03874#1#CM089432.1	31915349	32027959	112610	HG03874#1#CM089432.1:31882666-32027902	31882666	32027902	145236	-32683	58	57	left_side_present_in_graph_layout
q_seed_sensitive_pggb	NA18565#2#CM094342.1:31929266-32009115	NA18565#2#CM094342.1	31929266	32009115	79849	NA18565#2#CM094342.1:31896580-32009058	31896580	32009058	112478	-32686	61	60	left_side_present_in_graph_layout
q_seed_sensitive_pggb	NA18945#2#CM101630.1:32018016-32097865	NA18945#2#CM101630.1	32018016	32097865	79849	NA18945#2#CM101630.1:31985330-32097808	31985330	32097808	112478	-32686	56	55	left_side_present_in_graph_layout
q_seed_sensitive_pggb	NA18960#2#CM101559.1:31867170-31947019	NA18960#2#CM101559.1	31867170	31947019	79849	NA18960#2#CM101559.1:31834484-31946962	31834484	31946962	112478	-32686	61	60	left_side_present_in_graph_layout
